Player Name,Date,Statistic,Variable,Value
Player1,8/25/2019,Driving Accuracy Percentage,Driving Accuracy Percentage - (%),80
Player2,8/25/2019,Driving Accuracy Percentage,Driving Accuracy Percentage - (%),45
Player3,8/25/2019,Driving Accuracy Percentage,Driving Accuracy Percentage - (%),55
Player4,8/25/2019,Driving Accuracy Percentage,Driving Accuracy Percentage - (%),42
Player5,8/25/2019,Driving Accuracy Percentage,Driving Accuracy Percentage - (%),70
Player6,8/25/2019,Driving Accuracy Percentage,Driving Accuracy Percentage - (%),77
Player7,8/25/2019,Driving Accuracy Percentage,Driving Accuracy Percentage - (%),65
Player1,8/25/2019,Driving Distance,Driving Distance - (AVG.),290
Player2,8/25/2019,Driving Distance,Driving Distance - (AVG.),278
Player3,8/25/2019,Driving Distance,Driving Distance - (AVG.),267
Player4,8/25/2019,Driving Distance,Driving Distance - (AVG.),313
Player5,8/25/2019,Driving Distance,Driving Distance - (AVG.),330
Player6,8/25/2019,Driving Distance,Driving Distance - (AVG.),270
Player7,8/25/2019,Driving Distance,Driving Distance - (AVG.),300
Player1,8/25/2019,SG: Off-the-Tee,SG: Off-the-Tee - (AVERAGE),0.12
Player2,8/25/2019,SG: Off-the-Tee,SG: Off-the-Tee - (AVERAGE),1.23
Player3,8/25/2019,SG: Off-the-Tee,SG: Off-the-Tee - (AVERAGE),0.753
Player4,8/25/2019,SG: Off-the-Tee,SG: Off-the-Tee - (AVERAGE),0.743
Player5,8/25/2019,SG: Off-the-Tee,SG: Off-the-Tee - (AVERAGE),0.703
Player6,8/25/2019,SG: Off-the-Tee,SG: Off-the-Tee - (AVERAGE),0.692
Player7,8/25/2019,SG: Off-the-Tee,SG: Off-the-Tee - (AVERAGE),0.657
